N_OF;Date;Annee;Mois;Semaine;Ligne;Four;Site;Departement;Reference_Article;Famille_Article;Decore;Marque_Decor;Qte_Planifiee;Qte_Realisee;Ecart_Unites;Ecart_Pct;Code_Cause;Libelle_Cause;Statut
OF-2026-531;2026-08-06;2026;2026-08;32;L11;U2;Tit Mellil;Verre creux;POT 140 GRAVE CHERGUI;Verre creux (bouteilles / pots);NON;;6000;5867;-133;-2.21;AUTRE;Cause diverse;OK
OF-2026-532;2026-08-06;2026;2026-08;32;L23;U3;Tit Mellil;Verre creux;BOURGUIGNONNE 37 VH;Verre creux (bouteilles / pots);NON;;18000;17703;-297;-1.65;;;OK
OF-2026-533;2026-08-06;2026;2026-08;32;L23;U3;Tit Mellil;Verre creux;Steine 100 VA;Verre creux (bouteilles / pots);NON;;6000;6040;40;0.67;;;OK
OF-2026-534;2026-08-07;2026;2026-08;32;L13;U2;Tit Mellil;Verre creux;BUD APO 65 CL VA SACO;Verre creux (bouteilles / pots);NON;;9000;8458;-542;-6.02;SERIE;Changement de serie non anticipe;A traiter
OF-2026-535;2026-08-07;2026;2026-08;32;L11;U2;Tit Mellil;Verre creux;BOUTEILLE OULMES CLASSIC 1L;Verre creux (bouteilles / pots);NON;;9000;8951;-49;-0.55;;;OK
OF-2026-536;2026-08-07;2026;2026-08;32;L21;U3;Tit Mellil;Verre creux;BREMER 24CL VV;Verre creux (bouteilles / pots);NON;;15000;14792;-208;-1.39;;;OK
OF-2026-537;2026-08-07;2026;2026-08;32;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 TAJ BLANC;Gobeleterie (verres);NON;;12000;11538;-462;-3.85;AUTRE;Cause diverse;OK
OF-2026-538;2026-08-07;2026;2026-08;32;L22;U3;Tit Mellil;Verre creux;BIERE  CASABLANCA 25 CL VV;Verre creux (bouteilles / pots);NON;;12000;10804;-1196;-9.97;FOUR;Arret four non planifie;A traiter
OF-2026-539;2026-08-08;2026;2026-08;32;L12;U2;Tit Mellil;Verre creux;APO 50 CL VA SACO;Verre creux (bouteilles / pots);OUI;;6000;6005;5;0.09;;;OK
OF-2026-540;2026-08-08;2026;2026-08;32;L23;U3;Tit Mellil;Verre creux;BOUTEILLE BAMBI 50 VB;Verre creux (bouteilles / pots);NON;;12000;11845;-155;-1.29;;;OK
OF-2026-541;2026-08-08;2026;2026-08;32;L21;U3;Tit Mellil;Verre creux;BORDELAISE 18.7 VV STD;Verre creux (bouteilles / pots);NON;;15000;14045;-955;-6.37;SERIE;Changement de serie non anticipe;A traiter
OF-2026-542;2026-08-10;2026;2026-08;33;L01;U1;Roches Noires;Gobeleterie;12V/THE C16 NESCAFE GOLD;Gobeleterie (verres);NON;;9000;8667;-333;-3.7;QUALITE;Rebuts / non-conformites;OK
OF-2026-543;2026-08-10;2026;2026-08;33;L12;U2;Tit Mellil;Verre creux;SPRITE DIMPLE 200ML NON DECORE;Verre creux (bouteilles / pots);OUI;;10000;9869;-131;-1.31;;;OK
OF-2026-544;2026-08-10;2026;2026-08;33;L32;U4;Tit Mellil;Verre creux;MIRINDA 35 CL VB;Verre creux (bouteilles / pots);NON;;9000;8208;-792;-8.8;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-545;2026-08-10;2026;2026-08;33;L32;U4;Tit Mellil;Verre creux;PIETRA 25 CL VB;Verre creux (bouteilles / pots);NON;;8000;7694;-306;-3.83;SERIE;Changement de serie non anticipe;OK
OF-2026-546;2026-08-11;2026;2026-08;33;L31;U4;Tit Mellil;Verre creux;BREMER 65 CL VA SACO;Verre creux (bouteilles / pots);NON;;9000;9002;2;0.02;;;OK
OF-2026-547;2026-08-11;2026;2026-08;33;L02;U1;Roches Noires;Gobeleterie;F L G M (12);Gobeleterie (verres);NON;;6000;6035;35;0.58;;;OK
OF-2026-548;2026-08-11;2026;2026-08;33;L31;U4;Tit Mellil;Verre creux;APO 33 CL VA SACO;Verre creux (bouteilles / pots);NON;;8000;7500;-500;-6.25;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-549;2026-08-11;2026;2026-08;33;L03;U1;Roches Noires;Gobeleterie;6V/ CASABAHIA PE (R);Gobeleterie (verres);NON;;8000;7486;-514;-6.43;SERIE;Changement de serie non anticipe;A traiter
OF-2026-550;2026-08-12;2026;2026-08;33;L13;U2;Tit Mellil;Verre creux;POT GRAVE 72 AICHA;Verre creux (bouteilles / pots);NON;;15000;15073;73;0.49;;;OK
OF-2026-551;2026-08-12;2026;2026-08;33;L02;U1;Roches Noires;Gobeleterie;CONIQUE 16 PRESSE X12;Gobeleterie (verres);OUI;;9000;9036;36;0.4;;;OK
OF-2026-552;2026-08-12;2026;2026-08;33;L13;U2;Tit Mellil;Verre creux;POT CAFE 72 CARRE;Verre creux (bouteilles / pots);NON;;10000;9825;-175;-1.75;;;OK
OF-2026-553;2026-08-12;2026;2026-08;33;L33;U4;Tit Mellil;Verre creux;BEER CASTEL 33 VA VMF;Verre creux (bouteilles / pots);NON;;6000;5974;-26;-0.43;;;OK
OF-2026-554;2026-08-12;2026;2026-08;33;L12;U2;Tit Mellil;Verre creux;POT DAWN 50 GRS;Verre creux (bouteilles / pots);NON;;9000;8604;-396;-4.4;QUALITE;Rebuts / non-conformites;OK
OF-2026-555;2026-08-13;2026;2026-08;33;L32;U4;Tit Mellil;Verre creux;BDX TRAD ALL ECO VERT SR 75;Verre creux (bouteilles / pots);NON;;18000;16776;-1224;-6.8;SERIE;Changement de serie non anticipe;A traiter
OF-2026-556;2026-08-13;2026;2026-08;33;L11;U2;Tit Mellil;Verre creux;BOUTEILLE UNIVERSELLE 1L;Verre creux (bouteilles / pots);NON;;18000;17783;-217;-1.2;;;OK
OF-2026-557;2026-08-13;2026;2026-08;33;L22;U3;Tit Mellil;Verre creux;BD CONICA PESANTE 75CL VB;Verre creux (bouteilles / pots);NON;;9000;8883;-117;-1.3;;;OK
OF-2026-558;2026-08-13;2026;2026-08;33;L33;U4;Tit Mellil;Verre creux;BG ECOVA EVOL 77 PLU;Verre creux (bouteilles / pots);NON;;10000;10063;63;0.63;;;OK
OF-2026-559;2026-08-13;2026;2026-08;33;L11;U2;Tit Mellil;Verre creux;POT CAFE 100 CARRE;Verre creux (bouteilles / pots);NON;;9000;8676;-324;-3.6;QUALITE;Rebuts / non-conformites;OK
OF-2026-560;2026-08-14;2026;2026-08;33;L32;U4;Tit Mellil;Verre creux;POT DELICIA 21;Verre creux (bouteilles / pots);OUI;;9000;8471;-529;-5.88;SERIE;Changement de serie non anticipe;A traiter
OF-2026-561;2026-08-14;2026;2026-08;33;L21;U3;Tit Mellil;Verre creux;BOUTEILLE BG 50 VB;Verre creux (bouteilles / pots);OUI;;10000;8891;-1109;-11.09;FOUR;Arret four non planifie;A traiter
OF-2026-562;2026-08-14;2026;2026-08;33;L02;U1;Roches Noires;Gobeleterie;6V/ ICEGLASS CERAMICA;Gobeleterie (verres);NON;;9000;9081;81;0.9;;;OK
OF-2026-563;2026-08-15;2026;2026-08;33;L22;U3;Tit Mellil;Verre creux;POT ATLAS 105;Verre creux (bouteilles / pots);NON;;12000;11448;-552;-4.6;QUALITE;Rebuts / non-conformites;OK
OF-2026-564;2026-08-15;2026;2026-08;33;L33;U4;Tit Mellil;Verre creux;BORDELAISE VIPO 75CL VV;Verre creux (bouteilles / pots);NON;;8000;7018;-982;-12.28;FOUR;Arret four non planifie;A traiter
OF-2026-565;2026-08-15;2026;2026-08;33;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 AFRIQUIA GAZ;Gobeleterie (verres);OUI;Afriquia Gaz;15000;14054;-946;-6.31;SERIE;Changement de serie non anticipe;A traiter
OF-2026-566;2026-08-15;2026;2026-08;33;L02;U1;Roches Noires;Gobeleterie;6V/C28 POINT BLANC;Gobeleterie (verres);NON;;9000;9067;67;0.75;;;OK
OF-2026-567;2026-08-15;2026;2026-08;33;L01;U1;Roches Noires;Gobeleterie;6V/C5 SHELL HELIX;Gobeleterie (verres);NON;;18000;16621;-1379;-7.66;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-568;2026-08-17;2026;2026-08;34;L01;U1;Roches Noires;Gobeleterie;12V/THE C16 NOUARA SO;Gobeleterie (verres);NON;;10000;9013;-987;-9.87;FOUR;Arret four non planifie;A traiter
OF-2026-569;2026-08-17;2026;2026-08;34;L01;U1;Roches Noires;Gobeleterie;12V/C16 ASTA SIMILI OR;Gobeleterie (verres);NON;;12000;11655;-345;-2.88;AUTRE;Cause diverse;OK
OF-2026-570;2026-08-17;2026;2026-08;34;L02;U1;Roches Noires;Gobeleterie;6V/THE MARRAKECH SELECTION;Gobeleterie (verres);OUI;;18000;17667;-333;-1.85;;;OK
OF-2026-571;2026-08-17;2026;2026-08;34;L33;U4;Tit Mellil;Verre creux;BOUTEILLE CIGOGNE 25 CL VB;Verre creux (bouteilles / pots);OUI;;9000;8639;-361;-4.01;QUALITE;Rebuts / non-conformites;OK
OF-2026-572;2026-08-18;2026;2026-08;34;L23;U3;Tit Mellil;Verre creux;PIETRA 25 CL VB;Verre creux (bouteilles / pots);NON;;10000;8729;-1271;-12.71;FOUR;Arret four non planifie;A traiter
OF-2026-573;2026-08-18;2026;2026-08;34;L21;U3;Tit Mellil;Verre creux;POT  37 CL GRAVE VMM;Verre creux (bouteilles / pots);NON;;18000;16954;-1046;-5.81;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-574;2026-08-18;2026;2026-08;34;L02;U1;Roches Noires;Gobeleterie;12V/C16 ASTA SIMILI OR;Gobeleterie (verres);NON;;15000;14127;-873;-5.82;SERIE;Changement de serie non anticipe;A traiter
OF-2026-575;2026-08-18;2026;2026-08;34;L01;U1;Roches Noires;Gobeleterie;6V/CONIQUE 18;Gobeleterie (verres);NON;;18000;17986;-14;-0.08;;;OK
OF-2026-576;2026-08-19;2026;2026-08;34;L01;U1;Roches Noires;Gobeleterie;12V/THE TOKYO WARDA VERT;Gobeleterie (verres);NON;;6000;5760;-240;-4.0;AUTRE;Cause diverse;OK
OF-2026-577;2026-08-19;2026;2026-08;34;L12;U2;Tit Mellil;Verre creux;POT PATE A TARTINER 37CL;Verre creux (bouteilles / pots);NON;;8000;7894;-106;-1.33;;;OK
OF-2026-578;2026-08-19;2026;2026-08;34;L32;U4;Tit Mellil;Verre creux;CASTEL BEER 33 VA;Verre creux (bouteilles / pots);NON;;8000;7915;-85;-1.06;;;OK
OF-2026-579;2026-08-19;2026;2026-08;34;L03;U1;Roches Noires;Gobeleterie;12V/THE ISLANDE FL DV;Gobeleterie (verres);NON;;15000;14482;-518;-3.45;AUTRE;Cause diverse;OK
OF-2026-580;2026-08-20;2026;2026-08;34;L13;U2;Tit Mellil;Verre creux;BORDELAISE  75 CL 500 VH ALMA;Verre creux (bouteilles / pots);NON;;18000;17135;-865;-4.81;QUALITE;Rebuts / non-conformites;OK
OF-2026-581;2026-08-20;2026;2026-08;34;L23;U3;Tit Mellil;Verre creux;POT  TRAMIER 37 CL;Verre creux (bouteilles / pots);OUI;;18000;17983;-17;-0.09;;;OK
OF-2026-582;2026-08-20;2026;2026-08;34;L31;U4;Tit Mellil;Verre creux;BOURGUIGNONNE 75 VV VP;Verre creux (bouteilles / pots);NON;;8000;6963;-1037;-12.97;FOUR;Arret four non planifie;A traiter
OF-2026-583;2026-08-20;2026;2026-08;34;L31;U4;Tit Mellil;Verre creux;SIDI ALI 75 CL VXB;Verre creux (bouteilles / pots);OUI;;12000;11938;-62;-0.52;;;OK
OF-2026-584;2026-08-20;2026;2026-08;34;L21;U3;Tit Mellil;Verre creux;MX DOUBLE RE CUVE 78.1 CMC VV;Verre creux (bouteilles / pots);NON;;18000;17920;-80;-0.44;;;OK
OF-2026-585;2026-08-21;2026;2026-08;34;L32;U4;Tit Mellil;Verre creux;BREMER 24CL VV;Verre creux (bouteilles / pots);NON;;8000;7971;-29;-0.37;;;OK
OF-2026-586;2026-08-21;2026;2026-08;34;L13;U2;Tit Mellil;Verre creux;Bremer 30 VB;Verre creux (bouteilles / pots);NON;;6000;5957;-43;-0.72;;;OK
OF-2026-587;2026-08-21;2026;2026-08;34;L12;U2;Tit Mellil;Verre creux;POT CAFE 200 CARRE;Verre creux (bouteilles / pots);OUI;;6000;5619;-381;-6.35;DECOR;Incident atelier decor (casse, defaut d'impression);A traiter
OF-2026-588;2026-08-21;2026;2026-08;34;L32;U4;Tit Mellil;Verre creux;BIERE  CASABLANCA 33 CL VA LN;Verre creux (bouteilles / pots);NON;;6000;5994;-6;-0.1;;;OK
OF-2026-589;2026-08-21;2026;2026-08;34;L22;U3;Tit Mellil;Verre creux;BREMER 65 CL VA SACO;Verre creux (bouteilles / pots);NON;;15000;14217;-783;-5.22;QUALITE;Rebuts / non-conformites;A traiter
OF-2026-590;2026-08-22;2026;2026-08;34;L31;U4;Tit Mellil;Verre creux;BLLE EAU DE ROSE 1L  AVIS VV;Verre creux (bouteilles / pots);NON;;15000;14736;-264;-1.76;;;OK
OF-2026-591;2026-08-22;2026;2026-08;34;L03;U1;Roches Noires;Gobeleterie;12V/O S L O;Gobeleterie (verres);NON;;9000;9027;27;0.3;;;OK
OF-2026-592;2026-08-22;2026;2026-08;34;L12;U2;Tit Mellil;Verre creux;BOUTEILLE BAMBI 50 VB;Verre creux (bouteilles / pots);NON;;18000;17684;-316;-1.76;;;OK
OF-2026-593;2026-08-22;2026;2026-08;34;L21;U3;Tit Mellil;Verre creux;POT 85 STD;Verre creux (bouteilles / pots);NON;;12000;10576;-1424;-11.87;FOUR;Arret four non planifie;A traiter
OF-2026-594;2026-08-24;2026;2026-08;35;L32;U4;Tit Mellil;Verre creux;BOUTEILLE SIDI ALI 33 CL VB;Verre creux (bouteilles / pots);NON;;18000;17734;-266;-1.48;;;OK
OF-2026-595;2026-08-24;2026;2026-08;35;L01;U1;Roches Noires;Gobeleterie;6V/THE ISLANDE GM SAMARA NV;Gobeleterie (verres);NON;;9000;9045;45;0.5;;;OK
OF-2026-596;2026-08-24;2026;2026-08;35;L32;U4;Tit Mellil;Verre creux;BOUTEILLE SEDUCTION 75 VB;Verre creux (bouteilles / pots);OUI;;6000;6046;46;0.77;;;OK
OF-2026-597;2026-08-24;2026;2026-08;35;L02;U1;Roches Noires;Gobeleterie;6V/ICEGLASS TENDANCE NU;Gobeleterie (verres);NON;;15000;14735;-265;-1.77;;;OK
OF-2026-598;2026-08-25;2026;2026-08;35;L31;U4;Tit Mellil;Verre creux;BOUTEILLE  50 CL ALE VB;Verre creux (bouteilles / pots);NON;;18000;17971;-29;-0.16;;;OK
OF-2026-599;2026-08-25;2026;2026-08;35;L03;U1;Roches Noires;Gobeleterie;4V/CONIQUE 28 D;Gobeleterie (verres);NON;;15000;14762;-238;-1.59;;;OK
OF-2026-600;2026-08-25;2026;2026-08;35;L32;U4;Tit Mellil;Verre creux;PIETRA 25 CL VV;Verre creux (bouteilles / pots);NON;;6000;5942;-58;-0.97;;;OK
OF-2026-601;2026-08-26;2026;2026-08;35;L12;U2;Tit Mellil;Verre creux;POT GRAVE AICHA 21 EPAL;Verre creux (bouteilles / pots);OUI;;6000;5344;-656;-10.93;FOUR;Arret four non planifie;A traiter
OF-2026-602;2026-08-26;2026;2026-08;35;L23;U3;Tit Mellil;Verre creux;AIN SAISS 1L VB;Verre creux (bouteilles / pots);NON;;10000;9812;-188;-1.88;;;OK
OF-2026-603;2026-08-26;2026;2026-08;35;L11;U2;Tit Mellil;Verre creux;BOUTEILLE UNIVERSELLE 1L;Verre creux (bouteilles / pots);NON;;8000;8006;6;0.07;;;OK
OF-2026-604;2026-08-26;2026;2026-08;35;L02;U1;Roches Noires;Gobeleterie;6V/ARABICA CAFÉ  CARRION BLANC;Gobeleterie (verres);NON;;15000;14873;-127;-0.85;;;OK
OF-2026-605;2026-08-27;2026;2026-08;35;L31;U4;Tit Mellil;Verre creux;POT 37 GRAVE AICHA;Verre creux (bouteilles / pots);OUI;;9000;8110;-890;-9.89;FOUR;Arret four non planifie;A traiter
OF-2026-606;2026-08-27;2026;2026-08;35;L01;U1;Roches Noires;Gobeleterie;12V/ISLANDE SELECTION  PM;Gobeleterie (verres);NON;;9000;9054;54;0.6;;;OK
OF-2026-607;2026-08-27;2026;2026-08;35;L33;U4;Tit Mellil;Verre creux;POT CAFE JODA JAR 50GR;Verre creux (bouteilles / pots);NON;;18000;16471;-1529;-8.5;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-608;2026-08-28;2026;2026-08;35;L11;U2;Tit Mellil;Verre creux;POT CAFE JODA JAR 50GR;Verre creux (bouteilles / pots);OUI;;15000;14988;-12;-0.08;;;OK
OF-2026-609;2026-08-28;2026;2026-08;35;L22;U3;Tit Mellil;Verre creux;Steine 100 VA;Verre creux (bouteilles / pots);OUI;;6000;5909;-91;-1.52;;;OK
OF-2026-610;2026-08-28;2026;2026-08;35;L01;U1;Roches Noires;Gobeleterie;12V/TOKYO ANBA;Gobeleterie (verres);NON;;6000;5518;-482;-8.03;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-611;2026-08-29;2026;2026-08;35;L11;U2;Tit Mellil;Verre creux;PEPSI 35 CL VB;Verre creux (bouteilles / pots);NON;;8000;7918;-82;-1.03;;;OK
OF-2026-612;2026-08-29;2026;2026-08;35;L22;U3;Tit Mellil;Verre creux;POT SUPER 314 ML;Verre creux (bouteilles / pots);NON;;6000;5672;-328;-5.47;QUALITE;Rebuts / non-conformites;A traiter
OF-2026-613;2026-08-29;2026;2026-08;35;L31;U4;Tit Mellil;Verre creux;SPRITE DIMPLE 300ML  DECORE;Verre creux (bouteilles / pots);NON;;6000;5621;-379;-6.32;SERIE;Changement de serie non anticipe;A traiter
OF-2026-614;2026-08-31;2026;2026-08;36;L23;U3;Tit Mellil;Verre creux;BG ECOVA EVOL BVS HAVANE77 PLU;Verre creux (bouteilles / pots);OUI;;15000;15087;87;0.58;;;OK
OF-2026-615;2026-08-31;2026;2026-08;36;L11;U2;Tit Mellil;Verre creux;POT  37 CL GRAVE VMM;Verre creux (bouteilles / pots);NON;;18000;16960;-1040;-5.78;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-616;2026-08-31;2026;2026-08;36;L12;U2;Tit Mellil;Verre creux;POT GRAVE 72 AICHA;Verre creux (bouteilles / pots);OUI;;9000;9010;10;0.11;;;OK
OF-2026-617;2026-08-31;2026;2026-08;36;L02;U1;Roches Noires;Gobeleterie;12V/THE BOOK;Gobeleterie (verres);NON;;6000;6050;50;0.83;;;OK
OF-2026-618;2026-08-31;2026;2026-08;36;L22;U3;Tit Mellil;Verre creux;POT ATLAS 210;Verre creux (bouteilles / pots);NON;;12000;11980;-20;-0.16;;;OK
